seed,mcsdm_correlated,gssosm_correlated
1,0.397,0.397
2,0.568,0.568
3,0.682,0.682
4,0.553,0.553
5,0.521,0.529
6,0.635,0.635
7,0.493,0.493
8,0.519,0.519
9,0.444,0.444
10,0.478,0.478
11,0.439,0.439
12,0.436,0.436
13,0.433,0.433
14,0.461,0.461
15,0.479,0.479
16,0.472,0.472
17,0.452,0.452
18,0.579,0.579
19,0.364,0.364
20,0.478,0.479
21,0.522,0.522
22,0.535,0.535
23,0.503,0.506
24,0.412,0.412
25,0.462,0.469
26,0.534,0.534
27,0.528,0.537
28,0.557,0.557
29,0.515,0.525
30,0.376,0.376
31,0.442,0.442
32,0.432,0.432
33,0.557,0.557
34,0.537,0.54
35,0.536,0.536
36,0.606,0.606
37,0.544,0.544
38,0.515,0.515
39,0.51,0.51
40,0.383,0.383
41,0.491,0.491
42,0.413,0.417
43,0.485,0.485
44,0.546,0.546
45,0.391,0.391
46,0.644,0.644
47,0.416,0.416
48,0.47,0.47
49,0.451,0.451
50,0.542,0.542
51,0.363,0.363
52,0.511,0.511
53,0.553,0.553
54,0.565,0.565
55,0.397,0.397
56,0.462,0.462
57,0.562,0.562
58,0.516,0.516
59,0.65,0.65
60,0.621,0.624
61,0.603,0.603
62,0.477,0.477
63,0.519,0.519
64,0.576,0.576
65,0.606,0.606
66,0.591,0.591
67,0.481,0.481
68,0.444,0.444
69,0.443,0.443
70,0.435,0.435
71,0.533,0.533
72,0.452,0.452
73,0.405,0.405
74,0.501,0.501
75,0.595,0.595
76,0.407,0.407
77,0.42,0.423
78,0.505,0.512
79,0.494,0.494
80,0.602,0.602
81,0.539,0.539
82,0.409,0.409
83,0.529,0.529
84,0.499,0.499
85,0.6,0.6
86,0.441,0.441
87,0.533,0.533
88,0.494,0.494
89,0.467,0.467
90,0.423,0.423
91,0.575,0.575
92,0.446,0.446
93,0.472,0.472
94,0.444,0.444
95,0.426,0.426
96,0.529,0.529
97,0.353,0.353
98,0.448,0.448
99,0.543,0.543
100,0.671,0.671
